"Обводненность","Отбор от НИЗ","Отбор от НИЗ"
0,	0,	0.000
0,	0.24,	0.120
0.005,	0.24,	0.120
0.01,	0.24,	0.130
0.015,	0.24,	0.140
0.02,	0.24,	0.140
0.025,	0.24,	0.150
0.03,	0.24,	0.150
0.035,	0.24,	0.160
0.04,	0.24,	0.160
0.045,	0.24,	0.170
0.05,	0.24,	0.170
0.055,	0.24,	0.180
0.06,	0.24,	0.180
0.065,	0.24,	0.180
0.07,	0.24,	0.190
0.075,	0.24,	0.190
0.08,	0.24,	0.190
0.085,	0.24,	0.200
0.09,	0.25,	0.200
0.095,	0.25,	0.220
0.1,	0.26,	0.220
0.105,	0.27,	0.220
0.11,	0.27,	0.220
0.115,	0.28,	0.220
0.12,	0.28,	0.220
0.125,	0.29,	0.230
0.13,	0.3,	0.230
0.135,	0.3,	0.230
0.14,	0.31,	0.240
0.145,	0.31,	0.240
0.15,	0.32,	0.240
0.155,	0.32,	0.250
0.16,	0.33,	0.250
0.165,	0.33,	0.250
0.17,	0.34,	0.260
0.175,	0.34,	0.260
0.18,	0.35,	0.260
0.185,	0.35,	0.270
0.19,	0.35,	0.270
0.195,	0.36,	0.270
0.2,	0.36,	0.280
0.205,	0.37,	0.280
0.21,	0.37,	0.280
0.215,	0.38,	0.290
0.22,	0.38,	0.290
0.225,	0.39,	0.290
0.23,	0.39,	0.300
0.235,	0.39,	0.300
0.24,	0.4,	0.300
0.245,	0.4,	0.310
0.25,	0.41,	0.310
0.255,	0.41,	0.320
0.26,	0.41,	0.320
0.265,	0.42,	0.320
0.27,	0.42,	0.330
0.275,	0.43,	0.330
0.28,	0.43,	0.330
0.285,	0.43,	0.340
0.29,	0.44,	0.340
0.295,	0.44,	0.350
0.3,	0.45,	0.350
0.305,	0.45,	0.350
0.31,	0.45,	0.360
0.315,	0.46,	0.360
0.32,	0.46,	0.370
0.325,	0.46,	0.370
0.33,	0.47,	0.370
0.335,	0.47,	0.380
0.34,	0.48,	0.380
0.345,	0.48,	0.390
0.35,	0.48,	0.390
0.355,	0.49,	0.390
0.36,	0.49,	0.400
0.365,	0.49,	0.400
0.37,	0.5,	0.410
0.375,	0.5,	0.410
0.38,	0.51,	0.420
0.385,	0.51,	0.420
0.39,	0.51,	0.420
0.395,	0.52,	0.430
0.4,	0.52,	0.430
0.405,	0.52,	0.440
0.41,	0.53,	0.440
0.415,	0.53,	0.450
0.42,	0.53,	0.450
0.425,	0.54,	0.460
0.43,	0.54,	0.460
0.435,	0.54,	0.460
0.44,	0.55,	0.470
0.445,	0.55,	0.470
0.45,	0.56,	0.480
0.455,	0.56,	0.480
0.46,	0.56,	0.490
0.465,	0.57,	0.490
0.47,	0.57,	0.500
0.475,	0.57,	0.500
0.48,	0.58,	0.510
0.485,	0.58,	0.510
0.49,	0.58,	0.510
0.495,	0.59,	0.520
0.5,	0.59,	0.520
0.505,	0.59,	0.530
0.51,	0.6,	0.530
0.515,	0.6,	0.540
0.52,	0.6,	0.540
0.525,	0.61,	0.550
0.53,	0.61,	0.550
0.535,	0.62,	0.560
0.54,	0.62,	0.560
0.545,	0.62,	0.560
0.55,	0.63,	0.570
0.555,	0.63,	0.570
0.56,	0.63,	0.580
0.565,	0.64,	0.580
0.57,	0.64,	0.590
0.575,	0.64,	0.590
0.58,	0.65,	0.600
0.585,	0.65,	0.600
0.59,	0.65,	0.600
0.595,	0.66,	0.610
0.6,	0.66,	0.610
0.605,	0.67,	0.620
0.61,	0.67,	0.620
0.615,	0.67,	0.630
0.62,	0.68,	0.630
0.625,	0.68,	0.640
0.63,	0.68,	0.640
0.635,	0.69,	0.640
0.64,	0.69,	0.650
0.645,	0.7,	0.650
0.65,	0.7,	0.660
0.655,	0.7,	0.660
0.66,	0.71,	0.670
0.665,	0.71,	0.670
0.67,	0.71,	0.680
0.675,	0.72,	0.680
0.68,	0.72,	0.680
0.685,	0.73,	0.690
0.69,	0.73,	0.690
0.695,	0.73,	0.700
0.7,	0.74,	0.700
0.705,	0.74,	0.710
0.71,	0.75,	0.710
0.715,	0.75,	0.720
0.72,	0.75,	0.720
0.725,	0.76,	0.730
0.73,	0.76,	0.730
0.735,	0.77,	0.740
0.74,	0.77,	0.740
0.745,	0.77,	0.750
0.75,	0.78,	0.750
0.755,	0.78,	0.760
0.76,	0.79,	0.760
0.765,	0.79,	0.770
0.77,	0.79,	0.770
0.775,	0.8,	0.780
0.78,	0.8,	0.790
0.785,	0.81,	0.790
0.79,	0.81,	0.800
0.795,	0.82,	0.800
0.8,	0.82,	0.810
0.805,	0.83,	0.820
0.81,	0.83,	0.820
0.815,	0.83,	0.830
0.82,	0.84,	0.840
0.825,	0.84,	0.840
0.83,	0.85,	0.850
0.835,	0.85,	0.860
0.84,	0.86,	0.870
0.845,	0.86,	0.870
0.85,	0.87,	0.880
0.855,	0.87,	0.890
0.86,	0.88,	0.900
0.865,	0.88,	0.910
0.87,	0.89,	0.910
0.875,	0.89,	0.920
0.88,	0.9,	0.930
0.885,	0.9,	0.940
0.89,	0.91,	0.940
0.895,	0.91,	0.950
0.9,	0.92,	0.950
0.905,	0.92,	0.960
0.91,	0.93,	0.960
0.915,	0.93,	0.970
0.92,	0.94,	0.970
0.925,	0.95,	0.980
0.93,	0.95,	0.980
0.935,	0.96,	0.990
0.94,	0.96,	0.990
0.945,	0.97,	0.990
0.95,	0.98,	0.990
0.955,	0.98,	0.990
0.96,	1,	0.990
0.965,	1,	0.990
0.97,	1,	0.990
0.975,	1,	0.990
0.98,	1,	0.990
0.985,	1,	0.990
0.99,	1,	0.990
0.995,	1,	0.990
1,	1,	1.000
